"Year","Units","Grado urbanización","Municipio","Nacionalidad","GeoCode","Value"
2020,"Indicador 1","Zona rural","Guadahortuna","América del Sur","A18088",0.16
2020,"Indicador 1","Zona de densidad intermedia","Guadix","América del Sur","A18089",1.11
2020,"Indicador 1","Zona rural","Gualchos","América del Sur","A18093",1.29
2020,"Indicador 1","Zona rural","Güéjar Sierra","América del Sur","A18094",1.19
2020,"Indicador 1","Zona rural","Güevéjar","América del Sur","A18095",0.04
2020,"Indicador 1","Zona rural","Huélago","América del Sur","A18096",0.75
2020,"Indicador 1","Zona rural","Huéneja","América del Sur","A18097",0.34
2020,"Indicador 1","Zona de densidad intermedia","Huéscar","América del Sur","A18098",0.28
2020,"Indicador 1","Zona rural","Huétor de Santillán","América del Sur","A18099",0.37
2020,"Indicador 1","Zona de densidad intermedia","Huétor Tájar","América del Sur","A18100",3.34
2020,"Indicador 1","Ciudades","Huétor Vega","América del Sur","A18101",0.76
2020,"Indicador 1","Zona rural","Íllora","América del Sur","A18102",0.33
2020,"Indicador 1","Zona rural","Ítrabo","América del Sur","A18103",0.81
2020,"Indicador 1","Zona de densidad intermedia","Iznalloz","América del Sur","A18105",0.14
2020,"Indicador 1","Zona rural","Játar","América del Sur","A18106",13
2020,"Indicador 1","Zona rural","Jayena","América del Sur","A18107",0
2020,"Indicador 1","Zona rural","Jérez del Marquesado","América del Sur","A18108",1.26
2020,"Indicador 1","Zona rural","Jete","América del Sur","A18109",0.43
2020,"Indicador 1","Zona rural","Jun","América del Sur","A18111",0.31
2020,"Indicador 1","Zona rural","Juviles","América del Sur","A18112",0
2020,"Indicador 1","Zona rural","Calahorra, La","América del Sur","A18114",0.75
2020,"Indicador 1","Zona rural","Láchar","América del Sur","A18115",1.39
2020,"Indicador 1","Zona rural","Lanjarón","América del Sur","A18116",0.54
2020,"Indicador 1","Zona rural","Lanteira","América del Sur","A18117",0.18
2020,"Indicador 1","Zona rural","Lecrín","América del Sur","A18119",0.09
2020,"Indicador 1","Zona rural","Lentegí","América del Sur","A18120",0.3
2020,"Indicador 1","Zona rural","Lobras","América del Sur","A18121",0
2020,"Indicador 1","Zona de densidad intermedia","Loja","América del Sur","A18122",0.52
2020,"Indicador 1","Zona rural","Lugros","América del Sur","A18123",0
2020,"Indicador 1","Zona rural","Lújar","América del Sur","A18124",0
2020,"Indicador 1","Zona rural","Malahá, La","América del Sur","A18126",0.39
2020,"Indicador 1","Ciudades","Maracena","América del Sur","A18127",1.14
2020,"Indicador 1","Zona rural","Marchal","América del Sur","A18128",0
2020,"Indicador 1","Zona rural","Moclín","América del Sur","A18132",0.28
2020,"Indicador 1","Zona rural","Molvízar","América del Sur","A18133",0.11
2020,"Indicador 1","Ciudades","Monachil","América del Sur","A18134",1.76
2020,"Indicador 1","Zona rural","Montefrío","América del Sur","A18135",0.28
2020,"Indicador 1","Zona rural","Montejícar","América del Sur","A18136",0.14
2020,"Indicador 1","Zona rural","Montillana","América del Sur","A18137",0.09
2020,"Indicador 1","Zona rural","Moraleda de Zafayona","América del Sur","A18138",0.06
2020,"Indicador 1","Zona de densidad intermedia","Motril","América del Sur","A18140",1.46
2020,"Indicador 1","Zona rural","Murtas","América del Sur","A18141",0.22
2020,"Indicador 1","Zona rural","Nigüelas","América del Sur","A18143",0.42
2020,"Indicador 1","Zona de densidad intermedia","Nívar","América del Sur","A18144",0.58
